record_id,modality,target,molecule,type,value_nM,relation,pchembl
chembl-79,other,CHEMBL1824,CHEMBL155761,IC50,110.0,=,6.96
chembl-80,other,CHEMBL1824,CHEMBL157084,IC50,200.0,=,6.7
chembl-81,other,CHEMBL1824,CHEMBL157084,IC50,4400.0,=,5.36
chembl-82,other,CHEMBL1824,CHEMBL157084,IC50,2400.0,=,5.62
chembl-83,other,CHEMBL1824,CHEMBL55993,IC50,50118.72,=,4.3
chembl-84,other,CHEMBL1824,CHEMBL55360,IC50,33884.42,=,4.47
chembl-85,other,CHEMBL1824,CHEMBL56731,IC50,41686.94,=,4.38
chembl-86,other,CHEMBL1824,CHEMBL333454,IC50,1659.59,=,5.78
chembl-87,other,CHEMBL1824,CHEMBL122522,IC50,2511.89,=,5.6
chembl-88,other,CHEMBL1824,CHEMBL56219,IC50,57543.99,=,4.24
chembl-89,other,CHEMBL1824,CHEMBL118205,IC50,1513.56,=,5.82
chembl-90,other,CHEMBL1824,CHEMBL116595,IC50,128.82,=,6.89
chembl-91,other,CHEMBL1824,CHEMBL324030,IC50,8709.64,=,5.06
chembl-92,other,CHEMBL1824,CHEMBL417941,IC50,16982.44,=,4.77
chembl-93,other,CHEMBL1824,CHEMBL326100,IC50,251.19,=,6.6
chembl-94,other,CHEMBL1824,CHEMBL56542,IC50,4897.79,=,5.31
chembl-95,other,CHEMBL1824,CHEMBL293749,IC50,22908.68,=,4.64
chembl-96,other,CHEMBL1824,CHEMBL143212,IC50,4570.88,=,5.34
chembl-97,other,CHEMBL1824,CHEMBL440298,IC50,501187.23,=,
chembl-98,other,CHEMBL1824,CHEMBL326318,IC50,10000.0,=,5.0
chembl-99,other,CHEMBL1824,CHEMBL1161234,IC50,15848.93,=,4.8
chembl-100,other,CHEMBL1824,CHEMBL281872,IC50,100000.0,>,
chembl-101,other,CHEMBL1824,CHEMBL116423,IC50,58884.37,=,4.23
chembl-102,other,CHEMBL1824,CHEMBL56319,IC50,331131.12,=,
chembl-103,other,CHEMBL1824,CHEMBL53898,IC50,34673.69,=,4.46
chembl-104,other,CHEMBL1824,CHEMBL56393,IC50,16982.44,=,4.77
chembl-105,other,CHEMBL1824,CHEMBL1161236,IC50,4570.88,=,5.34
chembl-106,other,CHEMBL1824,CHEMBL143805,IC50,2884.03,=,5.54
chembl-107,other,CHEMBL1824,CHEMBL296407,IC50,6456.54,=,5.19
chembl-108,other,CHEMBL1824,CHEMBL118321,IC50,10000.0,=,5.0
chembl-109,other,CHEMBL1824,CHEMBL115895,IC50,3311.31,=,5.48
chembl-110,other,CHEMBL1824,CHEMBL56879,IC50,3019.95,=,5.52
chembl-111,other,CHEMBL1824,CHEMBL331026,IC50,6165.95,=,5.21
chembl-112,other,CHEMBL1824,CHEMBL140213,IC50,1000.0,=,6.0
chembl-113,other,CHEMBL1824,CHEMBL533849,IC50,20000.0,>,
chembl-114,other,CHEMBL1824,CHEMBL115519,IC50,15135.61,=,4.82
chembl-115,other,CHEMBL1824,CHEMBL119156,IC50,707.95,=,6.15
chembl-116,other,CHEMBL1824,CHEMBL119987,IC50,446.68,=,6.35
chembl-117,other,CHEMBL1824,CHEMBL54471,IC50,10000.0,=,5.0
chembl-118,other,CHEMBL1824,CHEMBL55979,IC50,37153.52,=,4.43
chembl-119,other,CHEMBL1824,CHEMBL141238,IC50,20892.96,=,4.68
chembl-120,other,CHEMBL1824,CHEMBL59145,IC50,12022.64,=,4.92
chembl-121,other,CHEMBL1824,CHEMBL118109,IC50,346.74,=,6.46
chembl-122,other,CHEMBL1824,CHEMBL1161235,IC50,91201.08,=,4.04
chembl-123,other,CHEMBL1824,CHEMBL55994,IC50,34673.69,=,4.46
chembl-124,other,CHEMBL1824,CHEMBL334032,IC50,17378.01,=,4.76
chembl-125,other,CHEMBL1824,CHEMBL55204,IC50,12882.5,=,4.89
chembl-126,other,CHEMBL1824,CHEMBL57251,IC50,165958.69,=,
chembl-127,other,CHEMBL1824,CHEMBL56543,IC50,13489.63,=,4.87
chembl-128,other,CHEMBL1824,CHEMBL56132,IC50,18197.01,=,4.74
chembl-129,other,CHEMBL1824,CHEMBL120564,IC50,112201.85,=,
chembl-130,other,CHEMBL1824,CHEMBL432428,IC50,1023.29,=,5.99
chembl-131,other,CHEMBL1824,CHEMBL141175,IC50,1995.26,=,5.7
chembl-132,other,CHEMBL1824,CHEMBL113996,IC50,31430.0,=,4.5
chembl-133,other,CHEMBL1824,CHEMBL607707,IC50,1230.0,=,5.91
chembl-134,other,CHEMBL1824,CHEMBL325156,IC50,9580.0,=,5.02
chembl-135,other,CHEMBL1824,CHEMBL114593,IC50,300.0,=,6.52
chembl-136,other,CHEMBL1824,CHEMBL116857,IC50,9350.0,=,5.03
chembl-137,other,CHEMBL1824,CHEMBL326280,IC50,380.0,=,6.42
chembl-138,other,CHEMBL1824,CHEMBL117326,IC50,1210.0,=,5.92
chembl-139,other,CHEMBL1824,CHEMBL115440,IC50,450.0,=,6.35
chembl-140,other,CHEMBL1824,CHEMBL116012,IC50,33950.0,=,4.47
chembl-141,other,CHEMBL1824,CHEMBL30973,IC50,4160.0,=,5.38
chembl-142,other,CHEMBL1824,CHEMBL113985,IC50,23590.0,=,4.63
chembl-143,other,CHEMBL1824,CHEMBL327023,IC50,1040.0,=,5.98
chembl-144,other,CHEMBL1824,CHEMBL115187,IC50,370.0,=,6.43
chembl-145,other,CHEMBL1824,CHEMBL283682,IC50,3870.0,=,5.41
chembl-146,other,CHEMBL1824,CHEMBL332497,IC50,34130.0,=,4.47
chembl-147,other,CHEMBL1824,CHEMBL421047,IC50,4130.0,=,5.38
chembl-148,other,CHEMBL1824,CHEMBL113901,IC50,11820.0,=,4.93
chembl-149,other,CHEMBL1824,CHEMBL281300,IC50,1630.0,=,5.79
chembl-150,other,CHEMBL1824,CHEMBL157128,IC50,1220.0,=,5.91
chembl-151,other,CHEMBL1824,CHEMBL116853,IC50,180.0,=,6.75
chembl-152,other,CHEMBL1824,CHEMBL114728,IC50,2970.0,=,5.53
chembl-153,other,CHEMBL1824,CHEMBL326811,IC50,4500.0,=,5.35
chembl-154,other,CHEMBL1824,CHEMBL114073,IC50,33950.0,=,4.47
chembl-155,other,CHEMBL1824,CHEMBL116525,IC50,2120.0,=,5.67
chembl-156,other,CHEMBL1824,CHEMBL323630,IC50,1950.0,=,5.71
chembl-157,other,CHEMBL1824,CHEMBL288441,IC50,2600.0,=,5.58
chembl-158,other,CHEMBL1824,CHEMBL424252,IC50,7800.0,=,5.11
chembl-159,other,CHEMBL1824,CHEMBL324718,IC50,4680.0,=,5.33
chembl-160,other,CHEMBL1824,CHEMBL114490,IC50,4490.0,=,5.35
chembl-161,other,CHEMBL1824,CHEMBL113902,IC50,21510.0,=,4.67
chembl-162,other,CHEMBL1824,CHEMBL114392,IC50,4390.0,=,5.36
chembl-163,other,CHEMBL1824,CHEMBL113900,IC50,320.0,=,6.5
chembl-164,other,CHEMBL1824,CHEMBL118000,IC50,8740.0,=,5.06
chembl-165,other,CHEMBL1824,CHEMBL263788,IC50,5660.0,=,5.25
chembl-166,other,CHEMBL1824,CHEMBL414631,IC50,380.0,=,6.42
chembl-167,other,CHEMBL1824,CHEMBL327188,IC50,1000.0,>,
chembl-168,other,CHEMBL1824,CHEMBL96633,IC50,1000.0,>,
chembl-169,other,CHEMBL1824,CHEMBL93262,IC50,1000.0,>,
chembl-170,other,CHEMBL1824,CHEMBL92395,IC50,1000.0,>,
chembl-171,other,CHEMBL1824,CHEMBL96096,IC50,1000.0,>,
chembl-172,other,CHEMBL1824,CHEMBL92729,IC50,1000.0,>,
chembl-173,other,CHEMBL1824,CHEMBL96081,IC50,1000.0,>,
chembl-174,other,CHEMBL1824,CHEMBL94846,IC50,1000.0,>,
chembl-175,other,CHEMBL1824,CHEMBL92339,IC50,1000.0,>,
chembl-176,other,CHEMBL1824,CHEMBL330351,IC50,1000.0,>,
chembl-177,other,CHEMBL1824,CHEMBL330657,IC50,1000.0,>,
chembl-178,other,CHEMBL1824,CHEMBL329244,IC50,1000.0,>,
chembl-179,other,CHEMBL1824,CHEMBL131577,IC50,25000.0,>,
chembl-180,other,CHEMBL1824,CHEMBL296468,IC50,25000.0,>,
chembl-181,other,CHEMBL1824,CHEMBL281006,IC50,97.0,=,7.01
chembl-182,other,CHEMBL1824,CHEMBL329622,IC50,,,
chembl-183,other,CHEMBL1824,CHEMBL284485,IC50,,,
chembl-184,other,CHEMBL1824,CHEMBL30432,IC50,97.0,=,7.01
chembl-185,other,CHEMBL1824,CHEMBL30432,IC50,70.0,=,7.16
chembl-186,other,CHEMBL1824,CHEMBL87084,IC50,10000.0,>,
chembl-187,other,CHEMBL1824,CHEMBL32464,IC50,1300.0,=,5.89
chembl-188,other,CHEMBL1824,CHEMBL313235,IC50,,,
chembl-189,other,CHEMBL1824,CHEMBL287591,IC50,1300.0,=,5.89
chembl-190,other,CHEMBL1824,CHEMBL31615,IC50,27000.0,=,4.57
chembl-191,other,CHEMBL1824,CHEMBL31653,IC50,1860.0,=,5.73
chembl-192,other,CHEMBL1824,CHEMBL31108,IC50,350.0,=,6.46
chembl-193,other,CHEMBL1824,CHEMBL89550,IC50,,,
chembl-194,other,CHEMBL1824,CHEMBL89115,IC50,,,
chembl-195,other,CHEMBL1824,CHEMBL416031,IC50,290.0,=,6.54
chembl-196,other,CHEMBL1824,CHEMBL90780,IC50,,,
chembl-197,other,CHEMBL1824,CHEMBL86664,IC50,10000.0,>,
chembl-198,other,CHEMBL1824,CHEMBL68423,IC50,10000.0,>,
chembl-199,other,CHEMBL1824,CHEMBL86717,IC50,,,
